critic1_losses,critic2_losses,actor_losses,alpha_losses,stats_win,stats_lose,mean_rewards,mean_win,mean_lose,eval_percent_win,eval_percent_lose
0.185166538,0.15442355,0.904961109,0,0,0,-0.020882433,0,0,0.05,0.39
0.534326077,0.929221153,0.183196142,0,0,0,-0.130601138,0,0,0.25,0.44
0.137081563,0.326937079,0.22999835,0,0,1,-0.353036855,0,0.032258065,0.23,0.58
0.186998352,0.352436453,0.456079364,0,0,0,-0.137218822,0,0,0.14,0.27
0.336175174,0.294064134,0.422188103,0,0,0,-0.026612687,0,0,0.05,0.28
0.127415121,0.140370816,0.122229643,0,0,0,-0.097767997,0,0,0.14,0.22
0.05835218,0.130686283,0.098446161,0,0,1,-0.351233387,0,0.03125,0.08,0.28
0.19177942,0.171034053,-0.064746007,0,0,1,-0.111790455,0,0.006369427,0.15,0.34
0.206299618,0.133132622,-0.212700203,0,0,1,-0.350665072,0,0.032258065,0.23,0.11
0.166565701,0.075358257,-0.464051485,0,0,1,-0.133265041,0,0.005780347,,
0.170814469,0.112480097,-0.798729956,0,0,0,-0.035102546,0,0,,
0.173684984,0.115969561,-1.155203819,0,0,0,-0.09192469,0,0,,
0.160413891,0.134387374,-1.48436749,0,0,1,-0.176456482,0,0.015873016,,
0.131465018,0.128801212,-1.563574672,0,0,0,-0.080304712,0,0,,
0.170051575,0.194287866,-1.876439929,0,0,0,-0.060929736,0,0,,
0.118975192,0.148389772,-2.306320429,0,0,0,-0.076873972,0,0,,
0.109281272,0.142663941,-2.114769697,0,0,1,-0.1067873,0,0.009345794,,
0.160921007,0.17230393,-2.530294895,0,0,1,-0.191254473,0,0.013888889,,
0.111420214,0.138484925,-2.616194248,0,1,0,0.194879939,0.020833333,0,,
0.084185369,0.123022623,-3.02462554,0,0,0,-0.138227407,0,0,,
0.155954316,0.16572912,-3.335324526,0,0,1,-0.1998612,0,0.014925373,,
0.148919508,0.164079517,-3.618336678,0,0,0,-0.149012002,0,0,,
0.176626161,0.151183069,-3.954978466,0,0,1,-0.088564038,0,0.004926108,,
0.088697441,0.082167529,-4.142902851,0,0,0,-0.111109027,0,0,,
0.108831324,0.123041824,-4.505466461,0,0,1,-0.221405506,0,0.020408163,,
0.077596307,0.087064438,-4.691192627,0,0,0,-0.095335693,0,0,,
0.093658902,0.111129127,-4.934084415,0,0,1,-0.349207813,0,0.03125,,
0.088112399,0.121252045,-5.249854088,0,0,1,-0.101320218,0,0.004366812,,
0.091318816,0.105993882,-5.440576553,0,0,0,-0.02837684,0,0,,
0.118786693,0.141781956,-5.726849556,0,1,0,0.027466487,0.008928571,0,,
0.123010911,0.129283354,-5.896122932,0,0,0,-0.034533978,0,0,,
0.135959446,0.141400814,-6.042481422,0,0,0,-0.115689888,0,0,,
0.273925334,0.284459561,-6.316252708,0,0,0,-0.004586336,0,0,,
0.206818283,0.220517039,-6.602694511,0,0,0,-0.031732531,0,0,,
0.193750858,0.186569929,-6.800051689,0,0,1,-0.359465692,0,0.032258065,,
0.096785113,0.08794298,-7.09677124,0,0,0,-0.157785152,0,0,,
0.204390824,0.212701276,-7.285673618,0,0,1,-0.34824755,0,0.032258065,,
0.11598096,0.123740725,-7.50739193,0,0,0,-0.134338367,0,0,,
0.083712026,0.095397219,-7.662302494,0,0,1,-0.315511215,0,0.027027027,,
0.072727703,0.100428291,-8.088798523,0,0,0,-0.16280039,0,0,,
0.1848194,0.200136408,-8.285474777,0,0,1,-0.205226019,0,0.019230769,,
0.098270431,0.11662171,-8.76216507,0,0,1,-0.149514802,0,0.004405286,,
0.129806876,0.138612002,-8.873474121,0,0,1,-0.341680586,0,0.032258065,,
0.053043429,0.083066575,-9.112729073,0,0,1,-0.208180454,0,0.014705882,,
0.214493006,0.232765675,-9.529911041,0,0,0,-0.055217288,0,0,,
0.075379439,0.091239423,-9.775992393,0,0,0,-0.073858586,0,0,,
0.050405689,0.063023873,-10.01152706,0,0,1,-0.243717856,0,0.022727273,,
0.132907912,0.138839737,-10.38240147,0,1,0,-0.015909019,0.005376344,0,,
0.201797128,0.188095257,-10.88416958,0,0,1,-0.081326901,0,0.004524887,,
0.19711253,0.19273299,-11.32996464,0,0,0,-0.064358812,0,0,,
0.293770581,0.290984899,-11.71107197,0,0,1,-0.149162557,0,0.011764706,,
0.069973566,0.071631677,-11.88481998,0,0,1,-0.144915123,0,0.010309278,,
0.158377513,0.155756086,-12.26757717,0,0,1,-0.111761426,0,0.006756757,,
0.082447574,0.086569838,-12.6275034,0,0,1,-0.114439311,0,0.009009009,,
0.049814761,0.048973557,-12.92626953,0,0,1,-0.363509895,0,0.032258065,,
0.296212077,0.307422876,-13.17737103,0,0,1,-0.102190434,0,0.004166667,,
0.049620271,0.063746475,-13.65235996,0,0,1,-0.196584623,0,0.018181818,,
0.22699903,0.231747851,-13.92979908,0,0,0,-0.078417429,0,0,,
0.060492862,0.063769318,-14.2066555,0,0,1,-0.354081507,0,0.032258065,,
0.102151923,0.105359197,-14.41650581,0,0,1,-0.177507015,0,0.012658228,,
0.077394098,0.083213754,-14.87319851,0,0,0,-0.036496485,0,0,,
0.053084895,0.046302106,-15.16261768,0,0,1,-0.284874987,0,0.022727273,,
0.056129072,0.055140294,-15.53692722,0,0,1,-0.126683419,0,0.010752688,,
0.058602378,0.059156459,-15.73509979,0,1,0,0.022285937,0.004347826,0,,
0.17723529,0.170231119,-15.65884209,0,0,1,-0.108590529,0,0.006369427,,
0.072115846,0.07207495,-16.02307701,0,0,1,-0.165417844,0,0.012820513,,
0.059422739,0.061302628,-16.43891525,0,0,1,-0.353775072,0,0.032258065,,
0.530904651,0.540250421,-16.88160896,0,0,1,-0.221560889,0,0.011363636,,
0.191090673,0.199047193,-17.26951218,0,0,1,-0.110356589,0,0.008264463,,
0.380577087,0.380011231,-17.67464638,0,1,0,0.039361367,0.008849558,0,,
0.199837878,0.211386204,-17.9973526,0,0,1,-0.197194812,0,0.016949153,,
0.047012523,0.040928751,-18.33171272,0,1,0,0.113577676,0.013888889,0,,
0.255294085,0.250424415,-18.65681076,0,0,0,-0.028874926,0,0,,
0.05647001,0.058185477,-18.98505211,0,0,1,-0.123425827,0,0.008695652,,
0.176705867,0.176487625,-19.36753464,0,0,1,-0.251485191,0,0.022222222,,
0.044144802,0.052094866,-19.63405418,0,0,1,-0.11813378,0,0.006060606,,
0.173116297,0.171438709,-20.04017067,0,0,0,-0.029623453,0,0,,
0.323470742,0.320147395,-20.29118156,0,0,0,-0.067549014,0,0,,
0.196718529,0.198506802,-20.64145851,0,0,1,-0.161616452,0,0.012345679,,
